Year,Pleuronectiformes,Lutjanidae,Lutjanus spp,Serranidae,Ariidae,Sciaenidae,Haemulidae,Centropomus spp,Trichiuridae,Lile stolifera,Makaira nigricans,Xiphias gladius,Auxis thazard,Bramidae,Coryphaena hippurus,Elasmobranchii,Penaeus stylirostris
1990,8818,5211,281,727,1177,963,1275,450,264,2051,8457,275483,1471,2379,1911,184,9405
1991,10622,4327,28,691,1221,2831,1322,603,290,1725,8709,306690,1526,1819,2029,233,7788
1992,9519,5790,90,1482,1210,3208,1135,481,275,1667,10864,190239,1310,1843,2303,299,6169
1993,7316,7847,108,2366,1145,3207,1108,757,303,2033,10590,161485,1279,1351,2865,697,6764
1994,6104,7315,1324,1864,1186,2214,1169,1026,298,615,7355,200879,1349,1562,2601,284,5985
1995,1980,7663,1301,3199,1328,1698,604,563,286,1801,5357,265324,906,1751,2146,224,6334
1996,2342,6170,1186,5598,1208,3005,484,587,206,1354,5872,208650,1266,2229,2071,729,5849
1997,2540,6508,1212,7759,1400,2994,868,684,200,1903,8405,174986,5787,2275,2173,1318,3482
1998,1165,7562,1789,7237,1869,3557,1276,752,329,1276,10516,153000,3259,2065,2407,645,2988
1999,2071,12748,1275,7553,1704,9913,375,996,309,2489,6753,108734,2338,1691,2832,967,2789
2000,2590,11113,996,5719,1549,8172,471,809,274,1828,8470,116221,1645,2449,3440,10534,3210
2001,1697,25115,1387,4327,1964,6294,506,862,222,2234,6709,124893,833,2128,2461,13504,2859
2002,1598,29362,1611,5371,2161,3624,634,686,258,2218,6405,126315,902,2317,2145,10868,2450
2003,1931,14769,1641,2963,1097,3213,227,1351,164,1790,7265,109672,1,2450,2249,6150,3000
2004,2091,6518,1812,2850,1287,1908,252,1169,147,1721,8060,108174,0.001,2220,5049,4459,3268
2005,2062,14733,2917,1750,3948,5533,2570,1409,549,1505,7144,108344,1168,2160,2169,5092,3040
2006,2133,13328,597,1904,4174,6010,2683,1511,574,1571,7814,112317,1220,2300,2493,4936,3174
2007,2909,10941,1260,2609,3837,3113,3430,1689,268,2209,7508,88560,1555,1977,3117,4312,3170
2008,2817,9281,820,2792,2735,3945,2288,1588,307,1090,8994,99787,1181,2466,2759,6555,2224
2009,2986,9489,976,1913,2820,4226,2314,1478,310,1029,9099,90468,1199,2217,2443,6409,3264
2010,3638,9078,1040,1404.65,2677,3826,2532,1623,301,2157,8645.18,92630.74,1271.01,3277.89,2435,4425.36,2837
2011,2989,6516.09,1256,817.69,1933,2358,1710,1065,367,40244,8927.25,91156.66,1022.02,3401.97,2227,3947.45,2736
2012,3206,5284,1368,538.35,3069,1815,1657,1655,470,4434,9024.06,121315.2,121.01,2973.28,2233,4904.96,2933
2013,4423,6115.01,1071,1473.36,3721,2139,2725,2316,4885,2096,10886.21,58560.37,2026.02,3015.48,2303,5632.81,1552
2014,5488,6036.6,1835,2098.64,4704,444,4052,3426,1632,3568,10393.38,53379.76,3569,4174.586,1547,6075.315,3003
2015,5804,7262.23,1828,2779.56,5401,411,4258,3310,2074,4963,12088.22,63471.59,4900,4163.449,1607,4609.11,4286
2016,5625,8979.85,1525,3351.67,6471,420,4247,4323,2234,6498,10621.18,54110.11,8494,3541.01,1596,1901.102,5106
2017,6357,8347.76,1689,3068.41,5958,420,4815,3926,2302,5509,11587.02,65069.09,5439,4483.36,1646.1,4652.64,4757
2018,6303,9892.51,1584,3799.72,7065,288,5003,4840,2502,7278,12522.12,60642.39,9513,3964.66,1662.61,7130.047,5719
2019,5319,7106.91,1595,2503.29,5183,668,4008,3504,2300,4907,10631.852,63650.74,4866,3725.14,1660.09,3187.972,3908
2020,4970.43,6686.35,1316.26,2352.89,4921.49,673.91,4003.67,3107.61,2194.2,4681.28,8686.79,68882.99,4642.16,3528.4,1626.74,2223.663,3728.23
2021,5399.34,7136.93,1143.55,2496.44,5715.29,683.12,4394.22,3429.55,2369,5054.21,7529.05,69464.76,5011.98,3753.25,1622.66,5033.922,4025.24
